scenario_id,scenario_label,mode_label,targeting_label,strategy_id,strategy_label,attack_ratio,seed,resilience,final_Q_phy,final_Q_comm,final_Q_mis,final_Q_overall
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.1,11,0.5353985221481774,1.0,0.7407957246008584,0.7222222222222222,0.7444691871814975
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.1,17,0.5849129479433929,1.0,0.7541092893164344,0.7647058823529411,0.771702121368866
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.1,23,0.6507085583598461,1.0,0.7582734231805522,0.8333333333333334,0.8078897070979152
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.1,29,0.8209229189661614,1.0,0.7811280120697515,1.0,0.9015076054313882
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.1,35,0.7023122277533651,1.0,0.7472705005874454,0.9,0.8362717252643505
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.2,11,0.0893806108346354,1.0,0.5043046971929493,0.4444444444444444,0.49915933595904943
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.2,17,0.1131101674956495,1.0,0.5042588321678855,0.47058823529411764,0.5122105921226072
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.2,23,0.04751867291009073,1.0,0.5148685014580121,0.3888888888888889,0.4761352701005499
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.2,29,0.4578391502602778,1.0,0.584272541676142,0.7777777777777778,0.7018115326431528
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.2,35,0.10097225899341679,1.0,0.5122994276586205,0.45,0.5055347424463792
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.3,11,0.0,1.0,0.32422522786081226,0.0,0.19590135253736551
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.3,17,0.0,1.0,0.3172088712834148,0.0,0.19274399207753667
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.3,23,0.0,1.0,0.32711053666037476,0.0,0.19719974149716862
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.3,29,0.0,1.0,0.31649508787150815,0.0,0.19242278954217867
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.3,35,0.0,1.0,0.30918231893463255,0.0,0.18913204352058466
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.4,11,0.0,1.0,0.23553663627493446,0.0,0.1559914863237205
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.4,17,0.0,1.0,0.2431256046905862,0.0,0.15940652211076378
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.4,23,0.0,1.0,0.2488539551641239,0.0,0.16198427982385577
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.4,29,0.0,1.0,0.24617322955528115,0.0,0.16077795329987654
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.4,35,0.0,1.0,0.23369461004178146,0.0,0.15516257451880167
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.5,11,0.0,1.0,0.18278126099724576,0.0,0.1322515674487606
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.5,17,0.0,1.0,0.19353645297043515,0.0,0.13709140383669582
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.5,23,0.0,1.0,0.17819852707499764,0.0,0.13018933718374895
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.5,29,0.0,1.0,0.1899222940585534,0.0,0.13546503232634904
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,no_reconfiguration,Static Baseline,0.5,35,0.0,1.0,0.16917969594560944,0.0,0.12613086317552424
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.1,11,0.5362333748771795,1.0,0.742072322560668,0.7222222222222222,0.7452791880861509
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.1,17,0.5849129479433929,1.0,0.7541092893164344,0.7647058823529411,0.771702121368866
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.1,23,0.6523618110145677,1.0,0.7609522463357677,0.8333333333333334,0.8093845075946227
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.1,29,0.8209229189661614,1.0,0.7811280120697515,1.0,0.9015076054313882
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.1,35,0.7035997696280594,1.0,0.749469956472113,0.9,0.8376100461481479
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.2,11,0.09026720828394041,1.0,0.5056847118512624,0.4444444444444444,0.5000158743780294
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.2,17,0.1131101674956495,1.0,0.5042588321678855,0.47058823529411764,0.5122105921226072
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.2,23,0.04920714344582116,1.0,0.5176161423981002,0.3888888888888889,0.47766103860044995
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.2,29,0.4578391502602778,1.0,0.584272541676142,0.7777777777777778,0.7018115326431528
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.2,35,0.1022598008681114,1.0,0.5144988835432881,0.45,0.5068730633301768
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.3,11,0.0,1.0,0.32422522786081226,0.0,0.19613688436010468
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.3,17,0.0,1.0,0.3172088712834148,0.0,0.19274399207753667
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.3,23,0.0,1.0,0.32943197142155306,0.0,0.19853371721655927
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.3,29,0.0,1.0,0.31649508787150815,0.0,0.19242278954217867
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.3,35,0.0,1.0,0.31154346858779813,0.0,0.19054312660020623
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.4,11,0.0,1.0,0.23553663627493446,0.0,0.15622701814645965
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.4,17,0.0,1.0,0.2431256046905862,0.0,0.15940652211076378
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.4,23,0.0,1.0,0.25117711226022826,0.0,0.16331903059396313
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.4,29,0.0,1.0,0.24617322955528115,0.0,0.16077795329987654
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.4,35,0.0,1.0,0.23605575969494705,0.0,0.15657365759842326
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.5,11,0.0,1.0,0.18278126099724576,0.0,0.13248709927149974
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.5,17,0.0,1.0,0.19353645297043515,0.0,0.13709140383669582
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.5,23,0.0,1.0,0.18052168417110206,0.0,0.13152408795385634
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.5,29,0.0,1.0,0.1899222940585534,0.0,0.13546503232634904
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,distance_driven,Nearest-Neighbor Reconfiguration,0.5,35,0.0,1.0,0.17154084559877505,0.0,0.12754194625514587
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.1,11,0.5360556216751822,1.0,0.7417704135972782,0.7222222222222222,0.7450625190961486
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.1,17,0.5849129479433929,1.0,0.7541092893164344,0.7647058823529411,0.771702121368866
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.1,23,0.6509594222161036,1.0,0.7584238184080638,0.8333333333333334,0.8080511405434034
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.1,29,0.8209229189661614,1.0,0.7811280120697515,1.0,0.9015076054313882
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.1,35,0.7026875446000763,1.0,0.7474958115362121,0.9,0.8367719238522429
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.2,11,0.09006308730686874,1.0,0.5053262867841634,0.4444444444444444,0.499773773141358
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.2,17,0.1131101674956495,1.0,0.5042588321678855,0.47058823529411764,0.5122105921226072
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.2,23,0.04778113287877932,1.0,0.515035911607367,0.3888888888888889,0.47630436026086753
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.2,29,0.4578391502602778,1.0,0.584272541676142,0.7777777777777778,0.7018115326431528
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.2,35,0.10135244534990433,1.0,0.5125439124235357,0.45,0.5060435692515384
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.3,11,0.0,1.0,0.32422522786081226,0.0,0.19605607440362782
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.3,17,0.0,1.0,0.3172088712834148,0.0,0.19274399207753667
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.3,23,0.0,1.0,0.32737508400531606,0.0,0.1974125433955002
cyber_role_decider,Network Suppression-Role-Oriented Targeted Attack (D),Network Suppression,Role-Oriented Targeted Attack,degree_driven,Maximum-Degree Reconfiguration,0.3,29,0.0,1.0,0.31649508787150815,0.0,0.19242278954217867
